paramter_names,parameter_values
k1_1f,1
k1_1r,100
k1_2f,1
k1_2r,100
k1_3f,1
k1_3r,100
k1_4f,1
k1_4r,100
k1_5f,1
k1_5r,100
kcat1_1,1.4195
kcat1_2,1.23
kcat1_3,16.68
kcat1_4,33.86333333
kcat1_5,30.1
k2_1f,0.00133
k2_1r,0.08
k2_2f,1340
k2_2r,0.01
k2_3f,0.000543
k2_3r,0.0217
k2_4f,1340
k2_4r,0.01
k3_1f,0.002
k3_1r,0.08
k3_2f,1340
k3_2r,0.01
k3_3f,0.00434
k3_3r,0.0217
k3_4f,0.309
k3_4r,0.01
k3_5f,1.55
k3_5r,0.01
kcat3,3.13
k10_4f,284.9474476
k10_4r,11397.8979
k10_5f,1411.103097
k10_5r,402.1392919
k10_6f,618.3359613
k10_6r,3091.679806
kcat10_H,0
k8_4f,0
k8_4r,0
k8_5f,0
k8_5r,0
k8_6f,618.3359613
k8_6r,3091.679806
kcat8_H,0
k10_7f,284.9474476
k10_7r,11397.8979
k10_8f,284.9474476
k10_8r,11397.8979
k10_9f,1411.103097
k10_9r,402.1392919
kcat10_CO2,14.54083748
k8_7f,284.9474476
k8_7r,11397.8979
k8_8f,284.9474476
k8_8r,11397.8979
k8_9f,1411.103097
k8_9r,402.1392919
kcat8_CO2,14.54083748
k4_1f,0.00793
k4_1r,0.0793
k4_2f,0.00128
k4_2r,0.0217
kcat4,0.59
k5_1f,0.000388
k5_1r,0.0217
kcat5,0.272
k5_2r,1.09
k6_1f,0.00397
k6_1r,0.0793
k6_2f,0.00109
k6_2r,0.0217
kcat6,4
k7_1f,0.00434
k7_1r,0.0217
kcat7,108
k8_1f,0.00155
k8_1r,0.0217
k8_2f,1340
k8_2r,0.01
k8_3f,0.00265
k8_3r,0.0217
kcat8,3.13
k9_1f,0.000388
k9_1r,0.0217
kcat9,0.272
k9_2r,1.09
k10_1f,0.00155
k10_1r,0.0217
k10_2f,1340
k10_2r,0.01
k10_3f,0.00265
k10_3r,0.0217
kcat10,2.14
