s1,ATP
s2,bicarbonate
s3,acetyl-CoA
s6,ACP
s9,NADH
s8,NADPH
p1,ADP
p2,malonyl-CoA
p3,CoA
p4,malonyl-ADP
p7,CO2
Q_4,C4-BK-ACP
M_4,C4-BH-ACP
R_4,C4-EA-ACP
T_4,C4-Acyl-ACP
F_4,C4-FFA
Q_6,C6-BK-ACP
M_6,C6-BH-ACP
R_6,C6-EA-ACP
T_6,C6-Acyl-ACP
F_6,C6-FFA
Q_8,C8-BK-ACP
M_8,C8-BH-ACP
R_8,C8-EA-ACP
T_8,C8-Acyl-ACP
F_8,C8-FFA
Q_10,C10-BK-ACP
M_10,C10-BH-ACP
R_10,C10-EA-ACP
T_10,C10-Acyl-ACP
F_10,C10-FFA
R_10_un,C10-EA_un
Q_12,C12-BK-ACP
M_12,C12-BH-ACP
R_12,C12-EA-ACP
T_12,C12-Acyl-ACP
F_12,C12-FFA
Q_12_un,C12-BK-ACP_un
M_12_un,C12-BH-ACP_un
R_12_un,C12-EA-ACP_un
T_12_un,C12-Acyl-ACP_un
F_12_un,C12-FFA_un
Q_14,C14-BK-ACP
M_14,C14-BH-ACP
R_14,C14-EA-ACP
T_14,C14-Acyl-ACP
F_14,C14-FFA
Q_14_un,C14-BK-ACP_un
M_14_un,C14-BH-ACP_un
R_14_un,C14-EA-ACP_un
T_14_un,C14-Acyl-ACP_un
F_14_un,C14-FFA_un
Q_16,C16-BK-ACP
M_16,C16-BH-ACP
R_16,C16-EA-ACP
T_16,C16-Acyl-ACP
F_16,C16-FFA
Q_16_un,C16-BK-ACP_un
M_16_un,C16-BH-ACP_un
R_16_un,C16-EA-ACP_un
T_16_un,C16-Acyl-ACP_un
F_16_un,C16-FFA_un
Q_18,C18-BK-ACP
M_18,C18-BH-ACP
R_18,C18-EA-ACP
T_18,C18-Acyl-ACP
F_18,C18-FFA
Q_18_un,C18-BK-ACP_un
M_18_un,C18-BH-ACP_un
R_18_un,C18-EA-ACP_un
T_18_un,C18-Acyl-ACP_un
F_18_un,C18-FFA_un
Q_20,C20-BK-ACP
M_20,C20-BH-ACP
R_20,C20-EA-ACP
T_20,C20-Acyl-ACP
F_20,C20-FFA
Q_20_un,C20-BK-ACP_un
M_20_un,C20-BH-ACP_un
R_20_un,C20-EA-ACP_un
T_20_un,C20-Acyl-ACP_un
F_20_un,C20-FFA_un
e1s1,acc_atp
e1s1s2,acc_atp_bicarb
e1act,acc*
e1acts3,acc*aCoA
e2p2,fabD_mCoA
e2act,fabD*
e2acts6,fabD*ACP
e3s3,fabH_aCoA
e3act,fabH*
e3actp4,fabH*mACP
e4s9,fabG
e6s8,
e3T_4,
e3actT_4,
e4s9Q_4,
e7M_4,
e7R_4,
e6s8R_4,
e9T_4,
e8T_4,
e8act4,
e8act4p4,
e11M_4,
e11R_4,
e10T_4,
e10act4,
e10act4p4,
e3T_6,
e3actT_6,
e4s9Q_6,
e7M_6,
e7R_6,
e6s8R_6,
e9T_6,
e8T_6,
e8act6,
e8act6p4,
e11M_6,
e11R_6,
e10T_6,
e10act6,
e10act6p4,
e3T_8,
e3actT_8,
e4s9Q_8,
e7M_8,
e7R_8,
e6s8R_8,
e9T_8,
e8T_8,
e8act8,
e8act8p4,
